电影名,主演,上映日期,评分,影评数,热门影评
芙蓉镇,刘晓庆,"
                            1987 ",9.3,142926人,
奇迹男孩,雅各布·特伦布莱,"
                            2017 ",8.6,555452人,世界不完美，爱会有奇迹。
爱乐之城,瑞恩·高斯林,"
                            2016 ",8.4,910237人,
二十二,,"
                            2015 ",8.7,293711人,有一些东西不应该被遗忘。
黑客帝国2：重装上阵,未知,"
                            2003 ",8.7,410523人,一个精彩的世界观正在缓缓建立。
哈利·波特与死亡圣器(上),丹尼尔·雷德克里夫,"
                            2010 ",8.5,585249人,最忠于原著的一部。
血钻,莱昂纳多·迪卡普里奥,"
                            2006 ",8.7,384038人,每个美丽事物背后都是滴血的现实。
战争之王,尼古拉斯·凯奇,"
                            2005 ",8.7,372864人,做一颗让别人需要你的棋子。
步履不停,阿部宽,"
                            2008 ",8.8,282590人,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
房间,布丽·拉尔森,"
                            2015 ",8.8,370706人,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
火星救援,马特·达蒙,"
                            2015 ",8.5,738009人,
魂断蓝桥,费雯·丽,"
                            1940 ",8.8,281615人,中国式内在的美国电影。
千年女优,庄司美代子,"
                            2001 ",8.8,271984人,爱情是一场没有尽头的虚幻追逐。
谍影重重2,马特·达蒙,"
                            2004 ",8.7,356865人,谁说王家卫镜头很晃？
白日梦想家,本·斯蒂勒,"
                            2013 ",8.6,491551人,
哈利·波特与凤凰社,丹尼尔·雷德克里夫,"
                            2007 ",8.5,579356人,
弱点,桑德拉·布洛克,"
                            2009 ",8.7,313422人,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
阿飞正传,张国荣,"
                            1990 ",8.5,516150人,王家卫是一种风格，张国荣是一个代表。
蜘蛛侠：平行宇宙,未知,"
                            2018 ",8.6,674185人,
谍影重重,马特·达蒙,"
                            2002 ",8.6,432318人,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
朗读者,凯特·温丝莱特,"
                            2008 ",8.6,456851人,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
燃情岁月,布拉德·皮特,"
                            1994 ",8.7,289696人,传奇，不是每个人都可以拥有。
再次出发之纽约遇见你,凯拉·奈特莉,"
                            2013 ",8.6,431252人,爱我就给我看你的播放列表。
香水,本·卫肖,"
                            2006 ",8.5,548513人,一个单凭体香达到高潮的男人。
发条橙,马尔科姆·麦克道威尔,"
                            1971 ",8.6,369473人,我完全康复了。
